id,oai_id,value,order,file,verified,entry_type,has_attach,link_to_content
13913,oai:www.wbc.poznan.pl:51803,dur brzuszny,last_page,0224.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51803
13914,oai:www.wbc.poznan.pl:51803,pociąg wpadł na auto,last_page,0224.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51803
13915,oai:www.wbc.poznan.pl:51803,z rozgłośni poznańskich,last_page,0224.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51803
13919,oai:www.wbc.poznan.pl:46647,tydzień pomocy dla bezrobotnych,other_page,0148.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46647
13921,oai:www.wbc.poznan.pl:46647,barak przy kaliskiej (ilustracja),other_page,0148.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/46647
13925,oai:www.wbc.poznan.pl:46647,tydzień propagandy ryb,other_page,0148.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/46647
13927,oai:www.wbc.poznan.pl:46647,awantura na rynku wildeckim,other_page,0148.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46647
13928,oai:www.wbc.poznan.pl:51883,bezrobocie,last_page,0474.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51883
13950,oai:www.wbc.poznan.pl:51883,antysemityzm,last_page,0474.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51883
13951,oai:www.wbc.poznan.pl:51883,stan elewacji kamiennic,last_page,0474.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51883
13952,oai:www.wbc.poznan.pl:51883,lekkoatletyka,last_page,0474.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51883
13954,oai:www.wbc.poznan.pl:50805,iuventus christiana,last_page,0162.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50805
13955,oai:www.wbc.poznan.pl:50805,bezpłatny kurs czeskiego,last_page,0162.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50805
