id,oai_id,value,order,file,verified,entry_type,has_attach,display_name,link_to_content
7093,oai:www.wbc.poznan.pl:46604,bukowska,other_page,0016.djvu,5,1,FALSE,ul. bukowska,https://www.wbc.poznan.pl/dlibra/publication/edition/46604
71,oai:www.wbc.poznan.pl:46608,podgórna,last_page,0042.djvu,1,1,FALSE,ul. podgórna,https://www.wbc.poznan.pl/dlibra/publication/edition/46608
7100,oai:www.wbc.poznan.pl:46604,masztalarska,last_page,0018.djvu,5,1,FALSE,ul. masztalarska,https://www.wbc.poznan.pl/dlibra/publication/edition/46604
7103,oai:www.wbc.poznan.pl:46604,podgórna,last_page,0018.djvu,5,1,FALSE,ul. podgórna,https://www.wbc.poznan.pl/dlibra/publication/edition/46604
7104,oai:www.wbc.poznan.pl:46604,skośna,last_page,0018.djvu,5,1,FALSE,ul. skośna,https://www.wbc.poznan.pl/dlibra/publication/edition/46604
7105,oai:www.wbc.poznan.pl:46604,wroniecka,last_page,0018.djvu,5,1,FALSE,ul. wroniecka,https://www.wbc.poznan.pl/dlibra/publication/edition/46604
7109,oai:www.wbc.poznan.pl:46604,matejki,other_page,0017.djvu,5,1,FALSE,ul. matejki,https://www.wbc.poznan.pl/dlibra/publication/edition/46604
7112,oai:www.wbc.poznan.pl:46881,dąbrowskiego,other_page,0384.djvu,5,1,FALSE,ul. dąbrowskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46881
7113,oai:www.wbc.poznan.pl:46881,grunwaldzka,other_page,0384.djvu,5,1,FALSE,ul. grunwaldzka,https://www.wbc.poznan.pl/dlibra/publication/edition/46881
7114,oai:www.wbc.poznan.pl:46881,wolności,other_page,0384.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46881
7127,oai:www.wbc.poznan.pl:62322,focha,last_page,0314_0001.djvu,5,1,FALSE,ul. focha,https://www.wbc.poznan.pl/dlibra/publication/edition/62322
7128,oai:www.wbc.poznan.pl:62322,fredry,other_page,0313_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/62322
7149,oai:www.wbc.poznan.pl:50595,bydgoska,last_page,0062.djvu,5,1,FALSE,ul. bydgoska,https://www.wbc.poznan.pl/dlibra/publication/edition/50595
7152,oai:www.wbc.poznan.pl:50595,pocztowa,other_page,0060.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/50595
7159,oai:www.wbc.poznan.pl:47765,stroma,other_page,1447.djvu,5,1,FALSE,ul. stroma,https://www.wbc.poznan.pl/dlibra/publication/edition/47765
716,oai:www.wbc.poznan.pl:46356,ratajczaka,other_page,448.djvu,5,1,FALSE,ul. ratajczaka,https://www.wbc.poznan.pl/dlibra/publication/edition/46356
7161,oai:www.wbc.poznan.pl:46168,bukowska,other_page,179.djvu,5,1,FALSE,ul. bukowska,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7162,oai:www.wbc.poznan.pl:46168,kraszewskiego,other_page,179.djvu,5,1,FALSE,ul. kraszewskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7163,oai:www.wbc.poznan.pl:46168,wolności,other_page,179.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7164,oai:www.wbc.poznan.pl:46168,pocztowa,other_page,179.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7166,oai:www.wbc.poznan.pl:46168,szeląg,other_page,177.djvu,5,1,FALSE,szeląg,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7168,oai:www.wbc.poznan.pl:46168,pocztowa,last_page,180.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7169,oai:www.wbc.poznan.pl:46168,podgórna,last_page,180.djvu,5,1,FALSE,ul. podgórna,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
